,,$\theta$=0.99,,,,,,,,,,,,,,
,,$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
Benchmark,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved
MNIST_6_100,,21.97,(70%),868,($\pm$0),,18.81,(28%),576,(-4),,8.38,(9%),429,(-1),,
MNIST_9_100,,17.86,(43%),766,(-1),,16.75,(22%),500,(-1),,3.6,(4%),388,($\pm$0),,
MNIST_CONV_BIG,,1.01,(68%),918,($\pm$0),,5.48,(49%),868,($\pm$0),,5.45,(35%),838,(-1),,
MNIST_CONV_SMALL,,1.0,(80%),969,(-10),,11.3,(94%),931,($\pm$0),,6.1,(100%),956,($\pm$0),,
CIFAR_RESNET_2B,,4.3,(28%),619,($\pm$0),,10.45,(46%),576,($\pm$0),,-,,-,,,
MARABOU,,2.47,(5%),192,(-1),,6.36,(12%),168,(-8),,4.87,(9%),181,(-2),,
OVAL21,,7.57,(15%),207,(-3),,15.04,(26%),155,(-3),,12.26,(23%),201,(-2),,
VIT,,2.0,(5%),251,($\pm$0),,-,,-,,,-,,-,,,
SRI_RESNET_A,,3.86,(7%),197,(-1),,8.71,(14%),133,($\pm$0),,-,,-,,,
CIFAR_100,,5.1,(21%),360,(-1),,19.37,(48%),279,($\pm$0),,-,,-,,,
TINY_IMAGENET,,4.58,(31%),420,(-1),,19.92,(68%),355,(-1),,-,,-,,,
