$\theta$,,0.99,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.99, 0.95, 0.0, 0.89, 0.87, 0.04, 0.97, 0.96, 0.0, 
MNIST ERAN, MNIST_9_100,0.99, 0.99, 0.0, 0.92, 0.91, 0.02, 0.99, 0.99, 0.07, 
MNIST ERAN, MNIST_CONV_BIG,0.47, 0.43, 0.0, 0.88, 0.74, 0.0, 0.78, 0.75, 0.05, 
MNIST ERAN, MNIST_CONV_SMALL,0.82, 1.0, 0.2, 0.81, 0.39, 0.0, 0.79, 0.09, 0.0, 
CIFAR 10, CIFAR_RESNET_2B,0.98, 0.98, 0.0, 0.77, 0.71, 0.0, -,-,-,
CIFAR 10, MARABOU,0.99, 0.99, 0.1, 0.93, 0.95, 0.53, 0.96, 0.96, 0.13, 
CIFAR 10, OVAL21,0.97, 0.98, 0.05, 0.89, 0.88, 0.07, 0.96, 0.95, 0.03, 
CIFAR 10, VIT,0.99, 0.98, 0.0, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.99, 1.0, 0.02, 0.91, 0.9, 0.0, -,-,-,
LARGE RESNET, CIFAR_100,0.99, 0.99, 0.02, 0.86, 0.78, 0.0, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.99, 0.99, 0.0, 0.9, 0.69, 0.01, -,-,-,
