,,$\theta$=0.8,,,,,,,,,,,,,,
,,$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
Benchmark,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved
MNIST_6_100,,22.15,(36%),699,($-$12),,7.87,(11%),563,($-$12),,2.99,(3%),418,($-$6),,
MNIST_9_100,,14.86,(21%),570,($-$15),,1.72,(2%),429,($-$68),,2.23,(2%),384,($-$2),,
MNIST_CONV_BIG,,0.29,(15%),917,($-$1),,3.74,(30%),859,($-$9),,2.37,(16%),844,($-$4),,
MNIST_CONV_SMALL,,1.83,(96%),977,($\pm$0),,9.28,(69%),921,($-$7),,4.06,(53%),944,($-$3),,
CIFAR_RESNET_2B,,2.57,(15%),611,($-$6),,2.99,(13%),562,($-$11),,-,,-,,,
MARABOU,,1.3,(2%),189,($-$3),,1.19,(2%),157,($-$16),,1.5,(3%),178,($-$4),,
OVAL21,,3.1,(6%),198,($-$9),,1.3,(2%),104,($-$52),,3.49,(6%),178,($-$13),,
VIT,,2.03,(5%),248,($-$3),,-,,-,,,-,,-,,,
SRI_RESNET_A,,3.06,(6%),188,($-$7),,1.29,(2%),100,($-$30),,-,,-,,,
CIFAR_100,,3.82,(14%),349,($-$11),,5.65,(13%),245,($-$25),,-,,-,,,
TINY_IMAGENET,,4.95,(28%),409,($-$9),,11.32,(33%),335,($-$14),,-,,-,,,
